Data loaded!

8 Classes detected!
verbose: False
lr_scheduler: False
depth_coefficient: 1.0
learning_rate: 0.001
epochs: 200
compound_coefficient: 1.0
width_coefficient: 1.0
model_name: efficientnet
output_dir: results/efficientnet_adam_0.001_d1.0_w1.0_r1.0_c1.0/
crop_size: 224
batch_size: 32
data_augmentation: False
img_size: 256
resolution_coefficient: 1.0
optimizer: adam
path_extension: 

---- Start Training ----
[2019-06-04 23:48:04] Epoch 45, Train Loss: 0.751470, Val Loss: 0.815860, Train Acc: 72.60, Val Acc: 70.44
[2019-06-04 23:57:04] Epoch 46, Train Loss: 0.747626, Val Loss: 0.837508, Train Acc: 72.44, Val Acc: 68.36
[2019-06-05 00:06:05] Epoch 47, Train Loss: 0.746537, Val Loss: 0.819089, Train Acc: 72.76, Val Acc: 69.99
[2019-06-05 00:15:04] Epoch 48, Train Loss: 0.733543, Val Loss: 0.811696, Train Acc: 73.16, Val Acc: 69.94
[2019-06-05 00:24:04] Epoch 49, Train Loss: 0.739756, Val Loss: 0.801097, Train Acc: 72.84, Val Acc: 71.05
[2019-06-05 00:33:05] Epoch 50, Train Loss: 0.736916, Val Loss: 0.776390, Train Acc: 72.89, Val Acc: 71.26
[2019-06-05 00:42:04] Epoch 51, Train Loss: 0.727306, Val Loss: 0.777414, Train Acc: 73.50, Val Acc: 70.73
[2019-06-05 00:51:05] Epoch 52, Train Loss: 0.723499, Val Loss: 0.815547, Train Acc: 73.60, Val Acc: 71.05
[2019-06-05 01:00:06] Epoch 53, Train Loss: 0.717709, Val Loss: 0.830191, Train Acc: 73.51, Val Acc: 69.31
[2019-06-05 01:09:06] Epoch 54, Train Loss: 0.723868, Val Loss: 0.787816, Train Acc: 73.48, Val Acc: 71.81
[2019-06-05 01:18:05] Epoch 55, Train Loss: 0.713303, Val Loss: 0.831608, Train Acc: 73.74, Val Acc: 69.91
[2019-06-05 01:27:04] Epoch 56, Train Loss: 0.715721, Val Loss: 0.792232, Train Acc: 73.87, Val Acc: 71.49
[2019-06-05 01:36:04] Epoch 57, Train Loss: 0.705389, Val Loss: 0.796355, Train Acc: 74.23, Val Acc: 71.70
[2019-06-05 01:45:03] Epoch 58, Train Loss: 0.699684, Val Loss: 0.786259, Train Acc: 73.98, Val Acc: 71.18
[2019-06-05 01:54:03] Epoch 59, Train Loss: 0.703719, Val Loss: 0.795444, Train Acc: 74.18, Val Acc: 71.99
[2019-06-05 02:03:04] Epoch 60, Train Loss: 0.700491, Val Loss: 0.794554, Train Acc: 74.24, Val Acc: 70.83
[2019-06-05 02:12:03] Epoch 61, Train Loss: 0.699376, Val Loss: 0.808781, Train Acc: 74.49, Val Acc: 71.31
[2019-06-05 02:21:03] Epoch 62, Train Loss: 0.692186, Val Loss: 0.805792, Train Acc: 74.48, Val Acc: 70.28
[2019-06-05 02:30:03] Epoch 63, Train Loss: 0.689364, Val Loss: 0.812349, Train Acc: 74.57, Val Acc: 70.81
[2019-06-05 02:39:04] Epoch 64, Train Loss: 0.686302, Val Loss: 0.797958, Train Acc: 75.04, Val Acc: 71.47
[2019-06-05 02:48:04] Epoch 65, Train Loss: 0.680232, Val Loss: 0.794376, Train Acc: 75.00, Val Acc: 71.83
[2019-06-05 02:57:03] Epoch 66, Train Loss: 0.678808, Val Loss: 0.803896, Train Acc: 74.93, Val Acc: 72.02
[2019-06-05 03:06:04] Epoch 67, Train Loss: 0.671646, Val Loss: 0.801498, Train Acc: 75.35, Val Acc: 71.81
[2019-06-05 03:15:05] Epoch 68, Train Loss: 0.664284, Val Loss: 0.780192, Train Acc: 75.75, Val Acc: 73.36
[2019-06-05 03:24:06] Epoch 69, Train Loss: 0.666578, Val Loss: 0.774641, Train Acc: 75.39, Val Acc: 72.41
[2019-06-05 03:33:06] Epoch 70, Train Loss: 0.659660, Val Loss: 0.831937, Train Acc: 75.72, Val Acc: 70.12
[2019-06-05 03:42:07] Epoch 71, Train Loss: 0.660186, Val Loss: 0.781805, Train Acc: 75.45, Val Acc: 71.20
[2019-06-05 03:51:08] Epoch 72, Train Loss: 0.655029, Val Loss: 0.808015, Train Acc: 75.57, Val Acc: 71.31
[2019-06-05 04:00:08] Epoch 73, Train Loss: 0.652981, Val Loss: 0.783522, Train Acc: 76.17, Val Acc: 70.91
[2019-06-05 04:09:09] Epoch 74, Train Loss: 0.653383, Val Loss: 0.822966, Train Acc: 76.03, Val Acc: 70.97
[2019-06-05 04:18:12] Epoch 75, Train Loss: 0.647841, Val Loss: 0.808494, Train Acc: 76.14, Val Acc: 71.31
[2019-06-05 04:27:11] Epoch 76, Train Loss: 0.646036, Val Loss: 0.811007, Train Acc: 75.98, Val Acc: 71.07
[2019-06-05 04:36:10] Epoch 77, Train Loss: 0.648531, Val Loss: 0.773411, Train Acc: 76.13, Val Acc: 71.81
[2019-06-05 04:45:09] Epoch 78, Train Loss: 0.643072, Val Loss: 0.804322, Train Acc: 76.17, Val Acc: 71.12
[2019-06-05 04:54:08] Epoch 79, Train Loss: 0.635122, Val Loss: 0.792265, Train Acc: 76.11, Val Acc: 72.81
